순위,종목명,현재가
1,삼성전자,"71,200"
2,LG에너지솔루션,"559,000"
3,SK하이닉스,"115,900"
4,삼성바이오로직스,"740,000"
5,LG화학,"696,000"
6,삼성전자우,"59,500"
7,삼성SDI,"688,000"
8,현대차,"201,500"
9,POSCO홀딩스,"496,500"
10,포스코퓨처엠,"466,000"
11,기아,"85,100"
12,NAVER,"205,500"
13,현대모비스,"243,000"
14,카카오,"50,900"
15,셀트리온,"149,900"
16,LG전자,"122,500"
17,KB금융,"48,250"
18,삼성물산,"102,700"
19,신한지주,"33,850"
20,SK이노베이션,"176,900"
21,LG,"87,700"
22,삼성생명,"68,500"
23,한국전력,"20,200"
24,HD현대중공업,"142,300"
25,카카오뱅크,"25,700"
26,하나금융지주,"38,950"
27,삼성전기,"152,200"
28,KT&G,"82,100"
29,하이브,"270,000"
30,두산에너빌리티,"17,500"
31,삼성화재,"234,500"
32,SK,"148,300"
33,SK텔레콤,"45,550"
34,삼성에스디에스,"128,400"
35,HMM,"19,810"
36,한화오션,"44,350"
37,메리츠금융지주,"46,100"
38,대한항공,"26,050"
39,고려아연,"460,500"
40,크래프톤,"184,300"
41,HD한국조선해양,"124,600"
42,우리금융지주,"11,690"
43,포스코인터내셔널,"48,350"
44,기업은행,"10,190"
45,S-Oil,"70,900"
46,KT,"29,400"
47,한화솔루션,"44,550"
48,삼성중공업,"8,490"
49,현대글로비스,"188,300"
50,LG생활건강,"452,000"
